County Name ,State,Median Age ,PerCapita Income,Percent in Poverty,Population Density,Crime Index (Per capita)
Autauga,AL,31.7,15768,15.2,60.4,457
Baldwin,AL,35.5,16954,13.6,66.5,282
Barbour,AL,32.8,15532,25,28.8,47
Blount,AL,34.5,14820,15,62.4,185
Bullock,AL,31.7,11120,33,17.6,141
Butler,AL,33.5,12015,27.1,28.1,266
Calhoun,AL,32.7,15162,18,190.8,560
Chambers,AL,34.8,13887,18.8,62.1,218
Cherokee,AL,36.3,13936,15.4,35.8,51
Chilton,AL,34,14036,18.6,47.8,296
Choctaw,AL,32.9,13423,25,17.6,29
Clarke,AL,31.7,13750,24.4,22.4,105
Cleburne,AL,34.1,14168,15.6,23.2,203
Coffee,AL,34.1,17318,14.9,60.5,357
Colbert,AL,35.7,15705,15.3,88,330
Conecuh,AL,34.5,12876,27.4,16.6,171
Covington,AL,36.2,13921,21.6,35.7,239
Crenshaw,AL,35.9,13247,22.8,22.1,165
Cullman,AL,34.8,15261,15.4,94.4,247
Dale,AL,29.1,14569,17.2,88.9,201
Dallas,AL,31.1,13574,34.2,48.9,794
De Kalb,AL,34.9,14294,17.3,71.9,104
Elmore,AL,32.9,14789,15.9,84.3,357
Escambia,AL,33.9,13184,24.4,38,161
Etowah,AL,36,15324,17.9,186.8,616
Fayette,AL,35.6,13404,18.6,28.8,113
Franklin,AL,35.8,14777,18.1,44.7,99
Geneva,AL,36.4,15339,19.4,41.8,142
Greene,AL,31.3,11165,38.8,15.8,416
Hale,AL,31.8,11509,31.4,24.7,122
Henry,AL,35.4,14658,19.1,27.8,183
Houston,AL,33.1,17412,18,143.5,587
Jackson,AL,34.6,15484,16.1,45.3,250
Jefferson,AL,34.1,19892,18.6,589.7,740
Lauderdale,AL,34.7,16058,13.9,122,283
Lawrence,AL,32,13763,17.8,46.4,108
Lee,AL,26.2,14458,18.5,146.8,609
Limestone,AL,32.8,16384,14.6,99.8,189
Macon,AL,28.9,11402,35.3,40.1,669
Madison,AL,31.9,21029,12.9,310.9,722
Marengo,AL,32.5,13908,28.4,23.8,387
Marion,AL,35.7,13238,18,40.1,71
Marshall,AL,35.3,15857,14.7,129.3,381
Mobile,AL,31.9,15569,24.3,314.7,709
Monroe,AL,31.4,13997,21.6,23.4,164
Montgomery,AL,31.6,19618,20.4,270.9,631
Morgan,AL,33.6,18164,12.9,177.8,443
Perry,AL,30.2,10986,42.4,17.2,402
Pickens,AL,34.3,12687,25.7,23.7,181
Pike,AL,29.9,14447,25.6,41.9,114
Randolph,AL,34.9,13064,18.5,34.8,139
Russell,AL,33,13664,20.4,76.4,473
St. Clair,AL,33.5,13994,16.2,83.4,157
Shelby,AL,31.5,20445,8.1,134.6,79
Sumter,AL,28.9,11611,35.2,17.9,231
Talladega,AL,33,13299,22.3,101.3,95
Tallapoosa,AL,35.5,15961,18,54.6,187
Tuscaloosa,AL,30.6,16035,19.3,115.9,793
Walker,AL,35,15598,17.7,86.1,253
Wilcox,AL,30.4,10300,41.3,15.4,46
Winston,AL,35.5,13674,16.2,36.3,151
Arkansas,AR,35.5,15327,19.6,21.6,457
Ashley,AR,33.9,15044,21.3,26.7,373
Baxter,AR,47.1,15577,14.9,58.8,109
Benton,AR,35.9,18124,9.8,125.2,345
Boone,AR,36.5,14605,14.2,49.6,168
Bradley,AR,36.6,14936,23.8,17.8,304
Calhoun,AR,34.3,12475,17.9,9.1,160
Carroll,AR,38.1,14860,14.6,30.8,285
Chicot,AR,31.9,12669,38.8,24.4,417
Clark,AR,32.2,13403,20.6,24.8,202
Clay,AR,39.5,13406,19,28,142
Cleburne,AR,41.7,13970,16.7,36.7,219
Cleveland,AR,35.7,12675,17.2,13.2,54
Columbia,AR,33.6,14294,23.6,33.5,232
Conway,AR,34.7,14486,18.5,34.7,177
Craighead,AR,31.6,15310,16.8,99.9,445
Crawford,AR,32.6,12673,18,74.4,297
Crittenden,AR,29.8,14202,28,81.2,513
Cross,AR,32.2,13750,24.9,31.2,242
Dallas,AR,36.4,14782,21.3,14.2,296
Desha,AR,31.5,13154,30.6,21.3,523
Drew,AR,31.8,13477,19.6,20.8,123
Faulkner,AR,29.8,15191,12.3,99.3,391
Franklin,AR,35.4,12860,15.9,24.9,188
Fulton,AR,40.6,10690,25.6,16.2,149
Garland,AR,40.8,17457,17.9,112.1,554
Grant,AR,34.4,14534,13,22.8,208
Greene,AR,35.5,13029,16.4,56.8,265
Hempstead,AR,34.3,13034,23.3,30.2,437
Hot Springs,AR,36.4,12622,18.6,42.9,299
Howard,AR,34.5,15854,17.5,23.3,151
Independence,AR,34.8,14704,16.5,41.4,335
Izard,AR,43.9,12867,21.1,20.3,49
Jackson,AR,36.7,14215,23.9,29.8,280
Jefferson,AR,31.9,14208,27.6,96.2,594
Johnson,AR,35.3,12801,18,28.2,236
Lafayette,AR,35.1,11796,30,17.9,136
Lawrence,AR,36.7,12210,23.8,29.7,128
Lee,AR,31.9,11213,45.4,21.4,471
Lincoln,AR,32.2,10859,29,24.8,60
Little River,AR,33.8,14504,19.1,25.8,206
Logan,AR,35.3,13428,18.7,29.3,89
Lonoke,AR,32.5,15744,14.2,53.4,215
Madison,AR,36,13857,17.3,14.7,108
Marion,AR,42.7,12902,19.1,20.9,127
Miller,AR,32.7,13585,22.8,61.8,881
Mississippi,AR,29.4,13954,26.2,61.2,822
Monroe,AR,34.5,13899,33,18,294
Montgomery,AR,40.1,12035,22.5,10.2,180
Nevada,AR,35.6,12803,19.9,16.1,74
Newton,AR,35.7,10483,26.3,9.2,30
Ouachita,AR,35.2,14052,22.1,40.4,442
Perry,AR,36.4,12829,16.7,15.1,92
Phillips,AR,30.8,12440,42.7,40.6,464
Pike,AR,36.4,14460,17.4,16.6,71
